category,item,price,description,nutrition,modifiers,image
Breakfast,Summer Fruit Cup,3.49,"Fresh cut fruit to include pineapple, cantelope, strawberries and blueberries","Calories                           60 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            10 mg
Carbohydrates              15 g
Dietary Fiber                  2 g
Total Sugars                    9 g
Protein                             1 g ",,
Breakfast,Greek Yogurt Parfait with Mixed Berries and Granola,4.49,Greek yogurt with granola made from whole grain oats and fresh strawberries and blueberries,"Calories                           250 Cal
Calories                            90 Cal
from Fat
Fat                                      10 g
Saturated                        5 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    30 mg
Sodium                            80 mg
Carbohydrates              27 g
Dietary Fiber                  2 g
Total Sugars                    17 g
Protein                             14 g ",,
Breakfast,Steel Cut Oatmeal with Strawberries and Pecans,5.19,"Steel cut oats, cooked to perfection with strawberries, pecans and cinnamon crunch topping.","Calories                           360 Cal
Calories                            130 Cal
from Fat
Fat                                      15 g
Saturated                        2 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    5 mg
Sodium                            150 mg
Carbohydrates              52 g
Dietary Fiber                  9 g
Total Sugars                    17 g
Protein                             8 g ","no strawberries
no pecans
no cinnamon crunch topping",
Breakfast,Egg & Cheese on Brioche,4.49,"Over easy egg, Vermont white cheddar, salt and pepper on Brioche.","Calories                           390 Cal
Calories                            180 Cal
from Fat
Fat                                      20 g
Saturated                        10 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    280 mg
Sodium                            560 mg
Carbohydrates              32 g
Dietary Fiber                  1 g
Total Sugars                    6 g
Protein                             20 g ","+ Whole Grain bread                                       free
+ Sourdough bread                                          free
+ American Cheese                                          $0.99
+ Swiss Cheese                                                  $0.99
+ Bacon                                                                 $0.99
+ Sausage                                                            $0.99
+ Artisan Ham                                                    $1.50
+ Avocado                                                            $0.99
+ Sliced Tomatoes                                             free
no Salt
no Pepper",
Bakery,Blueberry Muffin,2.79,Freshly baked muffin made with fresh blueberries and topped with Turbinado sugar.,"Calories                           460 Cal
Calories                            160 Cal
from Fat
Fat                                      18 g
Saturated                        3 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    60 mg
Sodium                            380 mg
Carbohydrates              69 g
Dietary Fiber                  1 g
Total Sugars                    40 g
Protein                             6 g ",,
Bakery,Cranberry Orange Muffin,2.79,"Freshly baked muffin made with orange peel and whole cranberries, topped with Turbinado sugar.","Calories                           480 Cal
Calories                            170 Cal
from Fat
Fat                                      19 g
Saturated                        3 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    65 mg
Sodium                            360 mg
Carbohydrates              71 g
Dietary Fiber                  2 g
Total Sugars                    40 g
Protein                             6 g ",,
Bakery,Plain Bagel,1.39,Freshly baked bagel,"Calories                           280 Cal
Calories                            10 Cal
from Fat
Fat                                      1 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            410 mg
Carbohydrates              57 g
Dietary Fiber                  2 g
Total Sugars                    4 g
Protein                             10 g ","+ Toasted                                                            free
+ Butter                                                                free
+ Cream Cheese                                               $0.99
+ Reduced Fat                                                   $0.99
Cream Cheese",
Bakery,Sprouted Grain Bagel Flat,1.39,"Freshly baked sprouted whole grain bagel topped with oats, pinched and slightly flattened to the perfect size.  2 servings of whole grain/bagel flat. (56% whole grain)","Calories                           180 Cal
Calories                            20 Cal
from Fat
Fat                                      2 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            410 mg
Carbohydrates              34 g
Dietary Fiber                  3 g
Total Sugars                    4 g
Protein                             7 g ","+ Toasted                                                            free
+ Butter                                                                free
+ Cream Cheese                                               $0.99
+ Reduced Fat                                                   $0.99
Cream Cheese",
Soup,Chicken Noodle Soup,6.49,"Fresh vegetables and tender all-white chicken breast simmered in a delicately seasoned chicken broth with traditional egg noodles.
Side: French Baguette","Calories                           170 Cal
Calories                            35 Cal
from Fat
Fat                                      4 g
Saturated                        1 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    40 mg
Sodium                            1490 mg
Carbohydrates              21 g
Dietary Fiber                  3 g
Total Sugars                    3 g
Protein                             13 g ","no French Baguette
",
Soup,Creamy Tomato Soup,6.49,"Vine-ripened pear tomatoes pureed with fresh cream for a velvety smooth flavor accented by hints of red pepper and oregano and topped with focaccia croutons.
Side: French Baguette","Calories                           340 Cal
Calories                            190 Cal
from Fat
Fat                                      21 g
Saturated                        11 g
Fat
Trans Fatty                      0.5 g
Acid
Cholesterol                    60 mg
Sodium                            840 mg
Carbohydrates              34 g
Dietary Fiber                  1 g
Total Sugars                    17 g
Protein                             5 g ","no French Baguette
no Croutons
",
Soup,Broccoli Cheddar Soup,6.49,"Chopped broccoli, shredded carrots and select seasonings simmered in a velvety smooth cheese sauce.
Side: French Baguette","Calories                           360 Cal
Calories                            190 Cal
from Fat
Fat                                      21 g
Saturated                        13 g
Fat
Trans Fatty                      1 g
Acid
Cholesterol                    55 mg
Sodium                            1330 mg
Carbohydrates              30 g
Dietary Fiber                  6 g
Total Sugars                    6 g
Protein                             14 g ","no French Baguette
",
Soup,Summer Corn Chowder,6.49,"Roasted corn and skin-on red potatoes simmered with sweet cream, poblano peppers and cilantro.
Side: French Baguette","Calories                           320 Cal
Calories                            180 Cal
from Fat
Fat                                      20 g
Saturated                        12 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    60 mg
Sodium                            1310 mg
Carbohydrates              34 g
Dietary Fiber                  3 g
Total Sugars                    8 g
Protein                             5 g ","no French Baguette
",
Soup,Soutwest Chicken Tortilla Soup,6.49,"Zesty roasted tomato and chili broth with slow-simmered chicken, masa, corn, poblano peppers, black beans, and hominy with lime and cilantro. Garnered with masa chips.
Side: French Baguette","Calories                           250 Cal
Calories                            80 Cal
from Fat
Fat                                      8 g
Saturated                        1 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    30 mg
Sodium                            1080 mg
Carbohydrates              32 g
Dietary Fiber                  1 g
Total Sugars                    3 g
Protein                             14 g ","no French Baguette
",
Sandwiches,Turkey Sandwich,7.69,"Oven-roasted turkey breast raised without antibiotics, emerald greens, vine-ripened tomatoes, red onions, mayo, spicy mustard, salt and pepper on whole grain bread.","Calories                           540 Cal
Calories                            150 Cal
from Fat
Fat                                      17 g
Saturated                        3 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    55 mg
Sodium                            1180 mg
Carbohydrates              64 g
Dietary Fiber                  9 g
Total Sugars                    8 g
Protein                             37 g ","+ Make it a Wrap                                               free
+ Sourdough bread                                          free
+ Focaccia bread                                                free
+ American Cheese                                          $0.99
+ Swiss Cheese                                                  $0.99
+ Bacon                                                                 $0.99
+ Artisan Ham                                                    $1.50
+ Avocado                                                            $0.99
no Emerald Greens
no Red Onions
no Sliced Tomatoes
no Mayo
Mayo on the side
no Mustard
Mustard on the side
no Salt
no Pepper",
Sandwiches,Napa Almond Chicken Salad Sandwich,7.69,"Chicken raised without antibiotics tossed with celery, seedless grapes, toasted almonds and special dressing, and served with emerald greens, vine-ripened tomatoes, salt and pepper on sourdough bread.","Calories                           630 Cal
Calories                            280 Cal
from Fat
Fat                                      31 g
Saturated                        4.5 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    70 mg
Sodium                            670 mg
Carbohydrates              62 g
Dietary Fiber                  5 g
Total Sugars                    12 g
Protein                             29 g ","+ Whole Grain bread                                          free
+ Focaccia bread                                                free
no Emerald Greens
no Vine-Ripened Tomatoes
no Salt
no Pepper",
Sandwiches,Heritage Ham & Swiss,7.69,"Artisan ham, emerald greens, mayo, spicy mustard, on sourdough bread.","Calories                           630 Cal
Calories                            280 Cal
from Fat
Fat                                      31 g
Saturated                        11 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    100 mg
Sodium                            1390 mg
Carbohydrates              48 g
Dietary Fiber                  3 g
Total Sugars                    2 g
Protein                             42 g ","+ Make it a Wrap                                                free
+ Whole Grain bread                                        free
+ Focaccia bread                                                free
+ American Cheese                                          $0.99
+ Bacon                                                                 $0.99
+ Avocado                                                            $0.99
no Swiss cheese
no Emerald Greens
no Mayo
Mayo on the side
no Mustard
Mustard on the side
",
Sandwiches,Mediterranean Veggie Sandwich,7.69,"Zesty sweet red peppers, feta, cucumbers, emerald greens, vine-ripened tomatoes, red onions, hummus, salt and pepper on whole grain bread.","Calories                           470 Cal
Calories                            120 Cal
from Fat
Fat                                      13 g
Saturated                        3 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    10 mg
Sodium                            1150 mg
Carbohydrates              68 g
Dietary Fiber                  6 g
Total Sugars                    8 g
Protein                             18 g ","+ Make it a Wrap                                               free
+ Sourdough bread                                          free
+ Focaccia bread                                                free
+ Avocado                                                            $0.99
no feta
no Emerald Greens
no Red Onions
no Vine-Ripened Tomatoes
no Hummus
Hummus on the side
no Salt
no Pepper",
Sandwiches,Tuna Salad Sandwich,7.69,"Our special recipe tuna salad, emerald greens, vine-ripened tomatoes, red onions, salt and pepper on focaccia bread.","Calories                           650 Cal
Calories                            310 Cal
from Fat
Fat                                      35 g
Saturated                        5 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    40 mg
Sodium                            1350 mg
Carbohydrates              58 g
Dietary Fiber                  4 g
Total Sugars                    5 g
Protein                             28 g ","+ Sourdough bread                                          free
+ Whole Grain bread                                        free
+ Avocado                                                            $0.99
no Emerald Greens
no Red Onions
no Vine-Ripened Tomatoes
no Salt
no Pepper",
